SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AT_OS,AOS,B,BMAT,BOS,BMAT_OS,A_NS,A_OS,log10_A_NS,log10_A_OS,BNS_IMMAT,BOS_IMMAT,BNS_MAT,BOS_MAT
2003,200301,4.085905106,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.459944929,-3.644877064,0.000346781,0.000226529,2.95405,3.06986,2.97702,3.07612
2004,200401,3.483024367,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.461524476,-3.646932887,0.000345522,0.000225459,2.95405,3.06986,2.97702,3.07612
2014,201401,3.300486064,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.462002727,-3.647555343,0.000345142,0.000225136,2.95405,3.06986,2.97702,3.07612
2019,201901,4.32108162,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.459328766,-3.644075112,0.000347273,0.000226947,2.95405,3.06986,2.97702,3.07612
2023,202301,3.155493467,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.462382607,-3.648049767,0.00034484,0.00022488,2.95405,3.06986,2.97702,3.07612
1982,198201,3.157352175,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.462377737,-3.648043429,0.000344844,0.000224883,2.95405,3.06986,2.97702,3.07612
1990,199001,2.379139244,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.464416655,-3.650697135,0.000343229,0.000223513,2.95405,3.06986,2.97702,3.07612
2005,200501,3.508432696,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.461457906,-3.646846245,0.000345575,0.000225504,2.95405,3.06986,2.97702,3.07612
2007,200701,1.497901051,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.466725499,-3.653702157,0.000341409,0.000221972,2.95405,3.06986,2.97702,3.07612
2006,200601,2.226868414,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.464815605,-3.651216379,0.000342913,0.000223246,2.95405,3.06986,2.97702,3.07612
2008,200801,1.94569425,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.465552281,-3.652175183,0.000342332,0.000222754,2.95405,3.06986,2.97702,3.07612
1979,197901,3.72346344,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.460894526,-3.64611299,0.000346023,0.000225885,2.95405,3.06986,2.97702,3.07612
1986,198602,2.289529964,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.464651431,-3.651002703,0.000343043,0.000223356,2.95405,3.06986,2.97702,3.07612
1995,199501,1.883952967,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.465714043,-3.65238572,0.000342205,0.000222646,2.95405,3.06986,2.97702,3.07612
2009,200901,1.909615454,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.465646808,-3.652298211,0.000342258,0.000222691,2.95405,3.06986,2.97702,3.07612
2017,201701,3.148296289,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.462401464,-3.64807431,0.000344825,0.000224867,2.95405,3.06986,2.97702,3.07612
1976,197601,-0.567619545,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.472137163,-3.660745583,0.000337181,0.000218401,2.95405,3.06986,2.97702,3.07612
