SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AT_OS,AOS,B,BT,BOS,BT_OS,A_NS,A_OS,log10_A_NS,log10_A_OS,B_NS,B_OS
2012,201201,-0.276170453,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.575881559,-3.301447028,0.000265533,0.00049952,3.232878712,3.113502278
2013,201301,-0.248262269,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.574963677,-3.299588427,0.000266095,0.000501662,3.2324715,3.112567735
2014,201401,2.668741247,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.479025298,-3.105324803,0.000331875,0.000784649,3.189909093,3.014887963
2015,201501,2.405623185,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.487679083,-3.122847671,0.000325328,0.00075362,3.193748285,3.023698824
2016,201601,1.737706705,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.509646429,-3.167328891,0.000309281,0.000680254,3.203493948,3.046064902
2017,201701,2.569300931,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.482295827,-3.111947227,0.000329385,0.000772774,3.19136004,3.018217855
2018,201801,3.565642102,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.449526803,-3.045593914,0.0003552,0.000900339,3.176822287,2.984854036
2019,201901,2.562714148,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.482512462,-3.112385887,0.000329221,0.000771994,3.191456149,3.018438423
2021,202101,2.334839632,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.490007109,-3.127561642,0.000323588,0.000745484,3.194781098,3.026069106
2022,202201,1.591028417,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.514470584,-3.177097222,0.000305865,0.000665124,3.205634152,3.050976621
2023,202301,0.435983255,-3.56679849,0.03288936,0.03370762,0.28374358,3.22884907,-0.01459114,-0.12459473,-0.0188952,-3.55245928,-3.254019742,0.000280247,0.00055716,3.222487577,3.089654856
