,ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS,YEAR,log10.width,log10.weight,log.width,log.weight,Cooks_D,SC,Maturity
255,NA,-19431,201901,162,176,M-31,68580,1,NA,30.9,2,NA,NA,NA,10,3.9,,2019,1.489958479,1,3.430756184,2.302585093,0.000432605,NS,Immature
256,NA,-10145,201301,89,119,L-19,68580,1,NA,31,2,NA,NA,NA,12,5.2,,2013,1.491361694,1.079181246,3.433987204,2.48490665,0.000349812,NS,Immature
257,NA,-10151,201301,89,125,P-21,68580,1,NA,31,2,NA,NA,NA,10,4.4,,2013,1.491361694,1,3.433987204,2.302585093,0.000528784,NS,Immature
258,NA,-8997,201201,89,155,Q-26,68580,1,NA,31,2,NA,NA,NA,12,NA,,2012,1.491361694,1.079181246,3.433987204,2.48490665,0.000349812,NS,#VALUE!
261,NA,-14737,201501,94,183,M-30,68580,1,NA,31,2,NA,NA,NA,12,4.2,,2015,1.491361694,1.079181246,3.433987204,2.48490665,0.000349812,NS,Immature
267,NA,-14571,201501,162,165,QP2524,68580,1,NA,31.1,2,NA,NA,NA,12,4.5,,2015,1.492760389,1.079181246,3.437207819,2.48490665,0.000268461,NS,Immature
269,NA,-17053,201701,94,198,N-29,68580,1,NA,31.1,2,NA,NA,NA,10,4.5,,2017,1.492760389,1,3.437207819,2.302585093,0.000633463,NS,Immature
271,3215,-3775,200701,89,173,S-25,68580,1,NA,31.2,2,NA,NA,NA,12,4.6,,2007,1.494154594,1.079181246,3.440418095,2.48490665,0.000198512,NS,Immature
272,NA,-8995,201201,89,153,Q-25,68580,1,NA,31.2,2,NA,NA,NA,12,NA,,2012,1.494154594,1.079181246,3.440418095,2.48490665,0.000198512,NS,#VALUE!
275,NA,-10253,201301,89,170,V-25,68580,1,NA,31.3,2,NA,NA,NA,12,4.9,,2013,1.495544338,1.079181246,3.443618098,2.48490665,0.000139642,NS,Immature
277,489,-11659,200601,88,171,V-22,68580,1,NA,31.4,2,NA,NA,NA,12,4.5,,2006,1.496929648,1.079181246,3.446807893,2.48490665,9.15E-05,NS,Immature
283,NA,-8617,201201,162,150,Q-22,68580,1,NA,31.5,2,NA,NA,NA,12,NA,,2012,1.498310554,1.079181246,3.449987546,2.48490665,5.39E-05,NS,#VALUE!
290,NA,-8959,201201,89,107,M-18,68580,1,NA,31.8,2,NA,NA,NA,12,4.8,,2012,1.50242712,1.079181246,3.45946629,2.48490665,6.26E-07,NS,Immature
297,681,-7945,201101,89,108,J-19,68580,1,NA,32,2,NA,NA,NA,12,3.9,,2011,1.505149978,1.079181246,3.465735903,2.48490665,1.20E-05,NS,Immature
299,NA,-10203,201301,89,159,PO2524,68580,1,NA,32,2,NA,NA,NA,12,3.9,,2013,1.505149978,1.079181246,3.465735903,2.48490665,1.20E-05,NS,Immature
301,NA,-9617,201202,162,30,CH30-F02,68580,1,NA,32,2,NA,NA,NA,12,4.7,,2012,1.505149978,1.079181246,3.465735903,2.48490665,1.20E-05,NS,Immature
303,NA,-14716,201501,94,148,N-27,68580,1,NA,32,2,NA,NA,NA,12,4.8,,2015,1.505149978,1.079181246,3.465735903,2.48490665,1.20E-05,NS,Immature
304,NA,-8994,201201,89,152,R-25,68580,1,NA,32.1,2,NA,NA,NA,14,NA,,2012,1.506505032,1.146128036,3.46885603,2.63905733,0.000804882,NS,#VALUE!
313,NA,-10253,201301,89,170,V-25,68580,1,NA,32.3,2,NA,NA,NA,14,4.8,,2013,1.509202522,1.146128036,3.47506723,2.63905733,0.000576291,NS,Immature
314,NA,-16981,201701,162,132,P-25,68580,1,NA,32.3,2,NA,NA,NA,12,3.4,,2017,1.509202522,1.079181246,3.47506723,2.48490665,9.39E-05,NS,Immature
315,NA,-8960,201201,89,108,N-18,68580,1,NA,32.4,2,NA,NA,NA,14,4.7,,2012,1.51054501,1.146128036,3.478158423,2.63905733,0.000477671,NS,Immature
316,NA,-8584,201201,162,120,L-18,68580,1,NA,32.4,2,NA,NA,NA,12,NA,,2012,1.51054501,1.079181246,3.478158423,2.48490665,0.000137492,NS,#VALUE!
319,NA,-8965,201201,89,113,O-20,68580,1,NA,32.5,2,NA,NA,NA,14,5.2,,2012,1.511883361,1.146128036,3.481240089,2.63905733,0.000389127,NS,Immature
321,NA,-10254,201301,89,171,V-26,68580,1,NA,32.5,2,NA,NA,NA,14,5.4,,2013,1.511883361,1.146128036,3.481240089,2.63905733,0.000389127,NS,Immature
323,NA,-9611,201202,162,24,CH30-E01,68580,1,NA,32.6,2,NA,NA,NA,14,5.3,,2012,1.5132176,1.146128036,3.484312288,2.63905733,0.000310383,NS,Immature
337,NA,-17059,201701,94,214,U-25,68580,1,NA,32.8,2,NA,NA,NA,14,32.8,,2017,1.515873844,1.146128036,3.490428515,2.63905733,0.000181227,NS,Mature
339,3518,-7168,201002,162,15,U-24,68580,1,NA,32.9,2,NA,NA,NA,14,5.6,EBS Northern Extension,2010,1.517195898,1.146128036,3.493472658,2.63905733,0.000130294,NS,Immature
340,NA,-10252,201301,89,169,U-25,68580,1,NA,32.9,2,NA,NA,NA,14,4.8,,2013,1.517195898,1.146128036,3.493472658,2.63905733,0.000130294,NS,Immature
345,1560,1063300,200101,89,138,U-21,68580,1,NA,33,2,NA,NA,NA,14,NA,,2001,1.51851394,1.146128036,3.496507561,2.63905733,8.81E-05,NS,#VALUE!
348,1716,-8177,201101,162,176,S-26,68580,1,NA,33,2,NA,NA,NA,14,4.8,,2011,1.51851394,1.146128036,3.496507561,2.63905733,8.81E-05,NS,Immature
350,NA,-14559,201501,94,126,K-21,68580,1,NA,33,2,NA,NA,NA,12,4.6,,2015,1.51851394,1.079181246,3.496507561,2.48490665,0.000552446,NS,Immature
351,NA,-14754,201501,162,208,N-31,68580,1,NA,33,2,NA,NA,NA,12,4.7,,2015,1.51851394,1.079181246,3.496507561,2.48490665,0.000552446,NS,Immature
354,440,-6168,201001,162,49,H-05,68580,1,NA,33.1,2,NA,NA,NA,12,NA,,2010,1.519827994,1.079181246,3.499533282,2.48490665,0.000645071,NS,#VALUE!
356,NA,-8995,201201,89,153,Q-25,68580,1,NA,33.1,2,NA,NA,NA,14,NA,,2012,1.519827994,1.146128036,3.499533282,2.63905733,5.45E-05,NS,#VALUE!
358,NA,-9624,201202,162,37,CH30-I04,68580,1,NA,33.1,2,NA,NA,NA,12,5.2,,2012,1.519827994,1.079181246,3.499533282,2.48490665,0.000645071,NS,Immature
362,NA,-8994,201201,89,152,R-25,68580,1,NA,33.2,2,NA,NA,NA,14,NA,,2012,1.521138084,1.146128036,3.502549876,2.63905733,2.91E-05,NS,#VALUE!
