"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"261",NA,-14737,201501,94,183,"M-30",68580,1,NA,31,2,NA,NA,NA,12,4.2,"","2015",1.49136169383427,1.07918124604762,3.43398720448515,2.484906649788,0.000349811632299664,"NS"
"267",NA,-14571,201501,162,165,"QP2524",68580,1,NA,31.1,2,NA,NA,NA,12,4.5,"","2015",1.49276038902684,1.07918124604762,3.43720781918519,2.484906649788,0.000268460939078952,"NS"
"269",NA,-17053,201701,94,198,"N-29",68580,1,NA,31.1,2,NA,NA,NA,10,4.5,"","2017",1.49276038902684,1,3.43720781918519,2.30258509299405,0.000633462852006862,"NS"
"271",3215,-3775,200701,89,173,"S-25",68580,1,NA,31.2,2,NA,NA,NA,12,4.6,"","2007",1.49415459401844,1.07918124604762,3.44041809481544,2.484906649788,0.000198512443949473,"NS"
"272",NA,-8995,201201,89,153,"Q-25",68580,1,NA,31.2,2,NA,NA,NA,12,NA,"","2012",1.49415459401844,1.07918124604762,3.44041809481544,2.484906649788,0.000198512443949473,"NS"
"275",NA,-10253,201301,89,170,"V-25",68580,1,NA,31.3,2,NA,NA,NA,12,4.9,"","2013",1.49554433754645,1.07918124604762,3.44361809754611,2.484906649788,0.000139642359977614,"NS"
"277",489,-11659,200601,88,171,"V-22",68580,1,NA,31.4,2,NA,NA,NA,12,4.5,"","2006",1.49692964807321,1.07918124604762,3.44680789291421,2.484906649788,9.15340323671543e-05,"NS"
"283",NA,-8617,201201,162,150,"Q-22",68580,1,NA,31.5,2,NA,NA,NA,12,NA,"","2012",1.4983105537896,1.07918124604762,3.44998754583159,2.484906649788,5.38777880520487e-05,"NS"
"290",NA,-8959,201201,89,107,"M-18",68580,1,NA,31.8,2,NA,NA,NA,12,4.8,"","2012",1.50242711998443,1.07918124604762,3.45946628978613,2.484906649788,6.26485612146678e-07,"NS"
"297",681,-7945,201101,89,108,"J-19",68580,1,NA,32,2,NA,NA,NA,12,3.9,"","2011",1.50514997831991,1.07918124604762,3.46573590279973,2.484906649788,1.20097284307091e-05,"NS"
"299",NA,-10203,201301,89,159,"PO2524",68580,1,NA,32,2,NA,NA,NA,12,3.9,"","2013",1.50514997831991,1.07918124604762,3.46573590279973,2.484906649788,1.20097284307091e-05,"NS"
"301",NA,-9617,201202,162,30,"CH30-F02",68580,1,NA,32,2,NA,NA,NA,12,4.7,"","2012",1.50514997831991,1.07918124604762,3.46573590279973,2.484906649788,1.20097284307091e-05,"NS"
"303",NA,-14716,201501,94,148,"N-27",68580,1,NA,32,2,NA,NA,NA,12,4.8,"","2015",1.50514997831991,1.07918124604762,3.46573590279973,2.484906649788,1.20097284307091e-05,"NS"
"304",NA,-8994,201201,89,152,"R-25",68580,1,NA,32.1,2,NA,NA,NA,14,NA,"","2012",1.50650503240487,1.14612803567824,3.46885603013597,2.63905732961526,0.000804882073613925,"NS"
"313",NA,-10253,201301,89,170,"V-25",68580,1,NA,32.3,2,NA,NA,NA,14,4.8,"","2013",1.5092025223311,1.14612803567824,3.47506723022861,2.63905732961526,0.000576290648274118,"NS"
"314",NA,-16981,201701,162,132,"P-25",68580,1,NA,32.3,2,NA,NA,NA,12,3.4,"","2017",1.5092025223311,1.07918124604762,3.47506723022861,2.484906649788,9.3932573747795e-05,"NS"
"315",NA,-8960,201201,89,108,"N-18",68580,1,NA,32.4,2,NA,NA,NA,14,4.7,"","2012",1.51054501020661,1.14612803567824,3.47815842279828,2.63905732961526,0.000477671469316936,"NS"
"316",NA,-8584,201201,162,120,"L-18",68580,1,NA,32.4,2,NA,NA,NA,12,NA,"","2012",1.51054501020661,1.07918124604762,3.47815842279828,2.484906649788,0.00013749153675444,"NS"
"319",NA,-8965,201201,89,113,"O-20",68580,1,NA,32.5,2,NA,NA,NA,14,5.2,"","2012",1.51188336097887,1.14612803567824,3.48124008933569,2.63905732961526,0.00038912717540596,"NS"
"321",NA,-10254,201301,89,171,"V-26",68580,1,NA,32.5,2,NA,NA,NA,14,5.4,"","2013",1.51188336097887,1.14612803567824,3.48124008933569,2.63905732961526,0.00038912717540596,"NS"
"323",NA,-9611,201202,162,24,"CH30-E01",68580,1,NA,32.6,2,NA,NA,NA,14,5.3,"","2012",1.51321760006794,1.14612803567824,3.48431228837266,2.63905732961526,0.000310383182988746,"NS"
"337",NA,-17059,201701,94,214,"U-25",68580,1,NA,32.8,2,NA,NA,NA,14,32.8,"","2017",1.51587384371168,1.14612803567824,3.4904285153901,2.63905732961526,0.000181226991579612,"NS"
