"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log.width","log.weight","Cooks_D","SC"
"446",1562,1063281,200101,89,140,"T-23",68580,1,NA,35,2,NA,NA,NA,16,NA,"","2001",3.55534806148941,2.77258872223978,3.83741124347229e-07,"NS"
"450",NA,-8968,201201,89,116,"L-20",68580,1,NA,35,2,NA,NA,NA,18,NA,"","2012",3.55534806148941,2.89037175789616,0.00052171954040124,"NS"
"451",NA,-8710,201201,162,154,"P-24",68580,1,NA,35,2,NA,NA,NA,16,NA,"","2012",3.55534806148941,2.77258872223978,3.83741124347229e-07,"NS"
"455",NA,-8959,201201,89,107,"M-18",68580,1,NA,35.1,2,NA,NA,NA,16,5.5,"","2012",3.55820113047182,2.77258872223978,5.55072022653768e-06,"NS"
"456",NA,-10145,201301,89,119,"L-19",68580,1,NA,35.1,2,NA,NA,NA,17,5.4,"","2013",3.55820113047182,2.83321334405622,9.36686322178986e-05,"NS"
"458",NA,-10153,201301,89,127,"O-20",68580,1,NA,35.1,2,NA,NA,NA,16,5.2,"","2013",3.55820113047182,2.77258872223978,5.55072022653768e-06,"NS"
"459",NA,-10228,201301,162,169,"U-27",68580,1,NA,35.1,2,NA,NA,NA,17,5.6,"","2013",3.55820113047182,2.83321334405622,9.36686322178986e-05,"NS"
"462",NA,-9610,201202,162,23,"CH30-D01",68580,1,NA,35.1,2,NA,NA,NA,18,5.3,"","2012",3.55820113047182,2.89037175789616,0.000442027519001927,"NS"
"464",NA,-10253,201301,89,170,"V-25",68580,1,NA,35.2,2,NA,NA,NA,18,5.2,"","2013",3.56104608260405,2.89037175789616,0.000369594209010284,"NS"
"466",NA,-10204,201301,89,160,"P-24",68580,1,NA,35.3,2,NA,NA,NA,18,5.7,"","2013",3.56388296393925,2.89037175789616,0.00030422965630293,"NS"
"472",NA,-9223,201201,162,207,"U-25",68580,1,NA,35.4,2,NA,NA,NA,18,NA,"","2012",3.56671182013973,2.89037175789616,0.000245747801622798,"NS"
"482",NA,-9588,201202,162,1,"CH30-B01",68580,1,NA,35.5,2,NA,NA,NA,16,5,"","2012",3.56953269648137,2.77258872223978,8.34580876834661e-05,"NS"
"483",3232,-3776,200701,89,174,"T-25",68580,1,NA,35.6,2,NA,NA,NA,16,5.2,"","2007",3.57234563785798,2.77258872223978,0.000116413499545315,"NS"
"484",3245,-3777,200701,89,175,"U-25",68580,1,NA,35.6,2,NA,NA,NA,16,5.4,"","2007",3.57234563785798,2.77258872223978,0.000116413499545315,"NS"
"487",NA,-10253,201301,89,170,"V-25",68580,1,NA,35.6,2,NA,NA,NA,18,5.1,"","2013",3.57234563785798,2.89037175789616,0.000148706978031062,"NS"
"489",481,-11658,200601,88,170,"V-23",68580,1,NA,35.7,2,NA,NA,NA,16,4.8,"","2006",3.57515068878559,2.77258872223978,0.000154440186842234,"NS"
"490",NA,-10168,201301,89,142,"K-23",68580,1,NA,35.7,2,NA,NA,NA,18,5.4,"","2013",3.57515068878559,2.89037175789616,0.000109794701748582,"NS"
"491",NA,-10153,201301,89,127,"O-20",68580,1,NA,35.7,2,NA,NA,NA,16,5.3,"","2013",3.57515068878559,2.77258872223978,0.000154440186842234,"NS"
"495",3244,-3777,200701,89,175,"U-25",68580,1,NA,35.8,2,NA,NA,NA,17,5.6,"","2007",3.57794789340665,2.83321334405622,5.28831097014864e-06,"NS"
"497",5459,-5675,200901,88,182,"S-30",68580,1,NA,35.8,2,NA,NA,NA,18,4,"","2009",3.57794789340665,2.89037175789616,7.70583671067502e-05,"NS"
"498",5258,-6716,201001,89,103,"I-19",68580,1,NA,35.8,2,NA,NA,NA,16,5.2,"","2010",3.57794789340665,2.77258872223978,0.000197384064604628,"NS"
"500",283,-11590,200601,88,102,"P-20",68580,1,NA,35.9,2,NA,NA,NA,16,4,"","2006",3.58073729549423,2.77258872223978,0.000245094365660582,"NS"
"508",NA,-17057,201701,94,212,"V-26",68580,1,NA,35.9,2,NA,NA,NA,20,5.8,"","2017",3.58073729549423,2.99573227355399,0.000753219348903635,"NS"
"510",NA,-10145,201301,89,119,"L-19",68580,1,NA,36,2,NA,NA,NA,18,5.4,"","2013",3.58351893845611,2.89037175789616,2.94462999722032e-05,"NS"
"514",5465,-5676,200901,88,183,"S-31",68580,1,NA,36.2,2,NA,NA,NA,20,4.9,"","2009",3.58905911883173,2.99573227355399,0.000496456241089809,"NS"
"517",NA,-10256,201301,89,173,"V-28",68580,1,NA,36.2,2,NA,NA,NA,20,5.5,"","2013",3.58905911883173,2.99573227355399,0.000496456241089809,"NS"
"518",NA,-14721,201501,94,167,"S-26",68580,1,NA,36.2,2,NA,NA,NA,20,5.2,"","2015",3.58905911883173,2.99573227355399,0.000496456241089809,"NS"
