"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.length","log.weight","Cooks_D","SC"
"54",3352409,-19783,201902,94,49,"AA-04",2,69322,1,62.5,NA,2,NA,NA,NA,166,NA,NA,NA,NA,1,NA,NA,NA,"AA-04","2019",4.13516655674236,5.11198778835654,0.0011470673640325,"NS"
"55",3352431,-19574,201902,94,14,"CC-06",2,69322,1,78.7,NA,2,NA,NA,NA,334,NA,NA,NA,NA,1,NA,NA,NA,"CC-06","2019",4.36564315542336,5.8111409929767,0.00163154290193516,"NS"
"56",3352433,-19576,201902,94,16,"BB-07",2,69322,1,66.3,NA,2,NA,NA,NA,184,NA,NA,NA,NA,1,NA,NA,NA,"BB-07","2019",4.19418989719182,5.21493575760899,0.00519355187572557,"NS"
"57",3352434,-19576,201902,94,16,"BB-07",2,69322,1,56.4,NA,2,NA,NA,NA,132,NA,NA,NA,NA,1,NA,NA,NA,"BB-07","2019",4.03246915850401,4.88280192258637,0.000123562888344378,"NS"
"58",3352435,-19576,201902,94,16,"BB-07",2,69322,1,81.6,NA,2,NA,NA,NA,346,NA,NA,NA,NA,1,NA,NA,NA,"BB-07","2019",4.40182926197006,5.84643877505772,0.00654222628834181,"NS"
"59",3352436,-19576,201902,94,16,"BB-07",2,69322,1,69.1,NA,2,NA,NA,NA,226,NA,NA,NA,NA,1,NA,NA,NA,"BB-07","2019",4.23555473077362,5.42053499927229,0.00112851505303877,"NS"
"61",3352440,-19738,201902,94,23,"BB-09",2,69322,1,41.9,NA,2,NA,NA,NA,48,NA,NA,NA,NA,1,NA,NA,NA,"BB-09","2019",3.73528582692809,3.87120101090789,0.00298394169906318,"NS"
"62",3352441,-19738,201902,94,23,"BB-09",2,69322,1,45.6,NA,2,NA,NA,NA,62,NA,NA,NA,NA,1,NA,NA,NA,"BB-09","2019",3.81990771652034,4.12713438504509,0.00283310715739495,"NS"
"63",3352447,-19748,201902,94,29,"AA-05",2,69322,1,54.2,NA,2,NA,NA,NA,112,NA,NA,NA,NA,1,NA,NA,NA,"AA-05","2019",3.9926809084456,4.71849887129509,0.000137333389316306,"NS"
"64",3354016,-19508,201902,94,10,"CC-05",2,69322,1,71.8,NA,2,NA,NA,NA,256,NA,NA,NA,NA,1,20.4,NA,NA,"CC-05","2019",4.27388447605418,5.54517744447956,0.000935096703253298,"NS"
"65",3354017,-19508,201902,94,10,"CC-05",2,69322,1,100.3,NA,2,NA,NA,NA,676,NA,NA,NA,NA,1,31.2,NA,NA,"CC-05","2019",4.60816569496789,6.51619307604296,0.00607480059256338,"NS"
"66",3354037,-19509,201902,94,11,"BB-05",2,69322,1,103.7,NA,2,NA,NA,NA,730,NA,NA,NA,NA,1,25.9,NA,NA,"BB-05","2019",4.64150211523548,6.59304453414244,0.00959809364172891,"NS"
"67",3354038,-19509,201902,94,11,"BB-05",2,69322,1,85.1,NA,2,NA,NA,NA,506,NA,NA,NA,NA,1,26.2,NA,NA,"BB-05","2019",4.44382703557933,6.22653666928747,0.00253016337945144,"NS"
"68",3354039,-19509,201902,94,11,"BB-05",2,69322,1,83.5,NA,2,NA,NA,NA,370,NA,NA,NA,NA,1,24.1,NA,NA,"BB-05","2019",4.42484663185681,5.91350300563827,0.00712077175058687,"NS"
"69",3354040,-19509,201902,94,11,"BB-05",2,69322,1,80.2,NA,2,NA,NA,NA,336,NA,NA,NA,NA,1,20.6,NA,NA,"BB-05","2019",4.38452351487247,5.8171111599632,0.00457240381842363,"NS"
"70",3354041,-19509,201902,94,11,"BB-05",2,69322,1,76.4,NA,2,NA,NA,NA,308,NA,NA,NA,NA,1,22.6,NA,NA,"BB-05","2019",4.33598269617247,5.73009978297357,0.00119314103305255,"NS"
"71",3354064,-19510,201902,94,12,"BB-06",2,69322,1,86.8,NA,2,NA,NA,NA,482,NA,NA,NA,NA,1,NA,NA,NA,"BB-06","2019",4.4636066216663,6.1779441140506,7.15464034206847e-05,"NS"
"72",3354065,-19510,201902,94,12,"BB-06",2,69322,1,70.7,NA,2,NA,NA,NA,256,NA,NA,NA,NA,1,NA,NA,NA,"BB-06","2019",4.25844557290253,5.54517744447956,5.24909933852836e-05,"NS"
"73",3354066,-19510,201902,94,12,"BB-06",2,69322,1,69,NA,2,NA,NA,NA,248,NA,NA,NA,NA,1,NA,NA,NA,"BB-06","2019",4.23410650459726,5.51342874616498,0.000194686072797277,"NS"
"74",3354067,-19510,201902,94,12,"BB-06",2,69322,1,68.3,NA,2,NA,NA,NA,228,NA,NA,NA,NA,1,NA,NA,NA,"BB-06","2019",4.22390976657674,5.42934562895444,0.00013789734332865,"NS"
"75",3354068,-19510,201902,94,12,"BB-06",2,69322,1,76.4,NA,2,NA,NA,NA,322,NA,NA,NA,NA,1,NA,NA,NA,"BB-06","2019",4.33598269617247,5.77455154554441,0.000153619941698023,"NS"
"76",3354069,-19510,201902,94,12,"BB-06",2,69322,1,75.7,NA,2,NA,NA,NA,320,NA,NA,NA,NA,1,NA,NA,NA,"BB-06","2019",4.3267781604434,5.76832099579377,1.77648028279152e-06,"NS"
"77",3353344,-19782,201902,94,48,"AA-03",2,69322,1,69.3,NA,2,NA,NA,NA,246,NA,NA,NA,NA,1,NA,NA,NA,"AA-03","2019",4.23844490619586,5.50533153593236,1.19442337108473e-05,"NS"
