"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.length","log.weight","Cooks_D","SC"
"67",3349872,-19771,201902,162,38,"BB-20",3,69323,1,66.9,NA,2,NA,NA,NA,220,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2019",4.20319896713418,5.39362754635236,2.86047445647794e-05,"NS"
"68",3349873,-19771,201902,162,38,"BB-20",3,69323,1,65.1,NA,2,NA,NA,NA,230,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2019",4.17592454921452,5.4380793089232,0.0138439261214916,"NS"
"69",3349874,-19771,201902,162,38,"BB-20",3,69323,1,69.6,NA,2,NA,NA,NA,300,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2019",4.24276456734037,5.7037824746562,0.0222577193747441,"NS"
"70",3349875,-19771,201902,162,38,"BB-20",3,69323,1,65.7,NA,2,NA,NA,NA,225,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2019",4.18509892549057,5.41610040220442,0.00468077372618338,"NS"
"71",3347042,-19757,201902,162,30,"BB-19",3,69323,1,129.6,NA,2,NA,NA,NA,1720,NA,NA,NA,NA,1,NA,NA,NA,"BB-19","2019",4.86445278391817,7.4500795698075,0.00311028660263652,"NS"
"72",3347043,-19757,201902,162,30,"BB-19",3,69323,1,106.8,NA,2,NA,NA,NA,875,NA,NA,NA,NA,1,NA,NA,NA,"BB-19","2019",4.67095792652609,6.77422388635761,0.00850098763474142,"NS"
"74",3346161,-19730,201902,162,19,"EE-19",3,69323,1,110.1,NA,2,NA,NA,NA,1145,NA,NA,NA,NA,1,NA,NA,NA,"EE-19","2019",4.70138904372863,7.04315991598834,0.00327618387132992,"NS"
"75",3344254,-19582,201902,162,17,"FF-01",3,69323,1,135.6,NA,2,NA,NA,NA,2295,NA,NA,NA,NA,1,NA,NA,NA,"FF-01","2019",4.90970937550629,7.73848812249465,0.0164733389975293,"NS"
"76",3344255,-19582,201902,162,17,"FF-01",3,69323,1,112,NA,2,NA,NA,NA,1240,NA,NA,NA,NA,1,NA,NA,NA,"FF-01","2019",4.71849887129509,7.12286665859908,0.00682198845504951,"NS"
"77",3348160,-19766,201902,162,33,"DD-18",3,69323,1,86.7,NA,2,NA,NA,NA,470,NA,NA,NA,NA,1,NA,NA,NA,"DD-18","2019",4.4624538837865,6.1527326947041,0.00211806023305028,"NS"
"79",3345427,-19506,201902,162,12,"CC-03",3,69323,1,59.3,NA,2,NA,NA,NA,148,NA,NA,NA,NA,1,NA,NA,NA,"CC-03","2019",4.08260930600368,4.99721227376411,0.000498644577276171,"NS"
"80",3345428,-19506,201902,162,12,"CC-03",3,69323,1,67.6,NA,2,NA,NA,NA,214,NA,NA,NA,NA,1,NA,NA,NA,"CC-03","2019",4.21360798304892,5.36597601502185,0.0034306972654155,"NS"
"81",1981443,-7099,201002,94,27,"",3,69323,1,71,NA,2,NA,NA,NA,280,NA,NA,NA,NA,1,25,NA,NA,"AA-22","2010",4.26267987704132,5.63478960316925,0.00141216391195871,"NS"
"82",1979619,-7096,201002,94,24,"",3,69323,1,117,NA,2,NA,NA,NA,1268,NA,NA,NA,NA,1,46,NA,NA,"BB-20","2010",4.76217393479776,7.14519613499717,0.000725118551166396,"NS"
"85",1979623,-7096,201002,94,24,"",3,69323,1,84,NA,2,NA,NA,NA,442,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2010",4.43081679884331,6.0913098820777,0.00040406990626651,"NS"
