"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.width","log.weight","Cooks_D","SC"
"63",3155788,-17365,201702,162,35,"X-23",7,68580,1,NA,55.8,2,NA,NA,NA,62,NA,NA,NA,NA,1,7.5,NA,"","X-23","2017",4.02177386938726,4.12713438504509,0.00020834199008278,"NS"
"64",3155789,-17365,201702,162,35,"X-23",7,68580,1,NA,54.4,2,NA,NA,NA,60,NA,NA,NA,NA,1,8.3,NA,"","X-23","2017",3.9963641538619,4.0943445622221,3.97357354946727e-05,"NS"
"65",3156227,-17365,201702,162,35,"X-23",7,68580,1,NA,26.3,2,NA,NA,NA,8,NA,NA,NA,NA,44.94241,NA,NA,"","X-23","2017",3.26956893918372,2.07944154167984,0.00169395211098274,"NS"
"66",3156228,-17365,201702,162,35,"X-23",7,68580,1,NA,27.5,2,NA,NA,NA,8,NA,NA,NA,NA,44.94241,NA,NA,"","X-23","2017",3.31418600467253,2.07944154167984,9.63018389656653e-06,"NS"
"68",3156230,-17365,201702,162,35,"X-23",7,68580,1,NA,42.6,2,NA,NA,NA,26,NA,NA,NA,NA,44.94241,NA,NA,"","X-23","2017",3.75185425327532,3.25809653802148,0.000333118480529522,"NS"
"69",3156231,-17365,201702,162,35,"X-23",7,68580,1,NA,45.6,2,NA,NA,NA,32,NA,NA,NA,NA,44.94241,NA,NA,"","X-23","2017",3.81990771652034,3.46573590279973,0.000326853205615967,"NS"
"70",3156436,-17367,201702,162,37,"X-25",7,68580,1,NA,57.1,2,NA,NA,NA,74,NA,NA,NA,NA,3.56236,8.8,NA,"","X-25","2017",4.04480411666196,4.30406509320417,2.35928644538929e-05,"NS"
"71",3156437,-17367,201702,162,37,"X-25",7,68580,1,NA,53.1,2,NA,NA,NA,58,NA,NA,NA,NA,3.56236,10.3,NA,"","X-25","2017",3.97217692824789,4.06044301054642,1.40877768734902e-07,"NS"
"72",3156438,-17367,201702,162,37,"X-25",7,68580,1,NA,48.7,2,NA,NA,NA,46,NA,NA,NA,NA,3.56236,8.5,NA,"","X-25","2017",3.88567903008854,3.8286413964891,2.17001116370207e-05,"NS"
"73",3156439,-17367,201702,162,37,"X-25",7,68580,1,NA,42.9,2,NA,NA,NA,30,NA,NA,NA,NA,3.56236,7.2,NA,"","X-25","2017",3.75887182593397,3.40119738166216,2.52842260095615e-06,"NS"
"74",3156440,-17367,201702,162,37,"X-25",7,68580,1,NA,37.4,2,NA,NA,NA,20,NA,NA,NA,NA,3.56236,6,NA,"","X-25","2017",3.62167070442049,2.99573227355399,1.03296608869408e-07,"NS"
